id,fecha,parcela,estrato,forofito,num_forofito,corteza,dap,tipo_bosque,morfotipo,genero,especie,tipo_reprod,estructura_sexual,estructura_asexual,tipo_espora,tamano_espora,espora_largo,espora_ancho,espora_color,himenio,tlc,Observaciones
848,25/10/2019,Tres,Uno,Ocotea diospyrifolia,cinco,casi lisa con grietas,"43,5",,Crustoso,indeterminado,morfo C,asexual,ausente,soralia,ausente,ausente,,,ausente,ausente,,
849,24/10/2019,Tres,Dos,Ocotea diospyrifolia,cinco,casi lisa con grietas,"43,5",bosque ribereño,Crustoso,Herpothallon,Herpothallon sp1,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
850,24/10/2019,Tres,Dos,Ocotea diospyrifolia,cinco,casi lisa con grietas,"43,5",bosque ribereño,Crustoso,Herpothallon,Herpothallon sp1,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
851,24/10/2019,Tres,Dos,Ocotea diospyrifolia,cinco,casi lisa con grietas,45,bosque ribereño,Crustoso,Porina,Porina mastoidea,sexual,peritecio,ausente,septada,mediano,36,7,hialina,no amiloideo,,
852,,,,,,,,,,indeterminado,indeterminado,,,,,,,,,,,
853,25/10/2019,Tres,Dos,Ocotea diospyrifolia,cinco,casi lisa con grietas,"43,5",,Crustoso,indeterminado,morfo A,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
854,,,,,,,,,,indeterminado,indeterminado,,,,,,,,,,,
855,24/10/2019,Tres,Dos,Ocotea diospyrifolia,cinco,casi lisa con grietas,"43,5",bosque ribereño,Crustoso,Graphis,Graphis virescens,sexual,lirelas,ausente,,,,,,,,
856,24/10/2019,Tres,Dos,Ocotea diospyrifolia,cinco,casi lisa con grietas,"43,5",bosque ribereño,Crustoso,Herpothallon,Herpothallon sp1,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
857,24/10/2019,Tres,Uno,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",bosque ribereño,Crustoso,Letrouitia,Letrouitia domingensis,sexual,apotecio,ausente,septada,mediano,"25,08","9,56",hialina,amiloideo,,
858,24/10/2019,Tres,Uno,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",bosque ribereño,Folioso,Flakea,Flakea papillata,ausente,ausente,ausente,ausente,ausente,,,ausente,ausente,,
859,25/10/2019,Tres,Uno,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",bosque ribereño,Escuamuloso,Phyllopsora,Phyllopsora sp7,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
860,25/10/2019,Tres,Uno,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",bosque ribereño,Escuamuloso,Phyllopsora,Phyllopsora sp1,ambas,apotecio,isidias,simple,pequeña,4,3,hialina,amiloideo,,
861,25/10/2019,Tres,Uno,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",,Crustoso,indeterminado,morfo D,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
862,25/10/2019,Tres,Uno,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",bosque ribereño,Crustoso,Cryptothecia,Cryptothecia sp3,ausente,ausente,ausente,ausente,ausente,,,ausente,ausente,,
863,,,,,,,,,,indeterminado,indeterminado,,,,,,,,,,,
864,,,,,,,,,,indeterminado,indeterminado,,,,,,,,,,,
865,25/10/2019,Tres,Uno,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",bosque ribereño,Crustoso,Herpothallon,Herpothallon rubrocinctum,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
866,25/10/2019,Tres,Uno,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",,Crustoso,indeterminado,morfo B,asexual,ausente,ausente,ausente,ausente,,,ausente,ausente,,
867,25/10/2019,Tres,Dos,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",bosque ribereño,Escuamuloso,Phyllopsora,Phyllopsora sp1,ambas,apotecio,isidias,simple,pequeña,"4,4","2,5",hialina,amiloideo,,
868,25/10/2019,Tres,Dos,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",,Crustoso,indeterminado,morfo A,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
869,25/10/2019,Tres,Dos,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",bosque ribereño,Crustoso,Cryptothecia,Cryptothecia sp1,asexual,ausente,soredio,ausente,ausente,,,ausente,ausente,,
870,,,,,,,,,,indeterminado,indeterminado,,,,,,,,,,,
871,25/10/2019,Tres,Dos,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",,Crustoso,indeterminado,morfo A,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
872,25/10/2019,Tres,Dos,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",,Crustoso,indeterminado,morfo A,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
873,24/10/2019,Tres,Dos,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",bosque ribereño,Folioso,Flakea,Flakea papillata,ausente,ausente,ausente,ausente,ausente,,,ausente,ausente,,
874,24/10/2019,Tres,Dos,Ocotea diospyrifolia,Dos,casi lisa con grietas,"39,5",bosque ribereño,Crustoso,Letrouitia,Letrouitia domingensis,sexual,apotecio,ausente,septada,grande,"36,5","14,3",hialina,amiloideo,,
875,,,,Psorosea sp.,,,,bosque ribereño,folioso,Flakea,Flakea papillata,ausente,ausente,ausente,no vistas,no vistas,no vistas,no vistas,no vistas,no vistas,Hyposalazinic acid,
875,,,,,,,,,crustoso,indeterminado,indeterminado,,,,,,,,,,,
876,,,,,,,,,,Hongo,hongo,,,,,,,,,,,
877,,,,,,,,bosque ribereño,,Pyrenula,Pyrenula aff. aspistea,,,,,,,,,,,
878,,,,,,,,bosque ribereño,crustoso,Coenogonium,Coenogonium strigosum,,,,,,,,,,,
879,,,,,,,,bosque ribereño,bisoide,Cryptothecia,Cryptothecia,,,,,,,,,,,
880,,,,,,,,bosque ribereño,,Herpothallon,Herpothallon rubrocinctum,,,,,,,,,,,
882,,,,,,,,,crustoso,Hongo,hongo,,,,,,,,,,,
