nro;grad;Acarospora_altoandina;Acarospora_lorentzii;Acarospora_sp1;Acarospora_sp2;Buellia_aethalea;Buellia_aff_aethalea;Buellia_aff_sulfurea;Buellia_concinna;Buellia_crema;Buellia_dispersa;Buellia_sp1;Buellia_sulphurea;Buellia_tellulata;Buellia_tesserata;Buellia_umbrina;Caloplaca_aff_chlorina;Caloplaca_cinnabarina;Caloplaca_sideritis;Candelariella_vitellina;Canoparmelia_carneopruinata;Catillaria_sl;Cladonia_esteril;Cladonia_fimbriata;Cladonia_melanopoda;Cladonia_pyxidata;Cladonia_sp;Cladonia_symphocarpa;Cob_líquenes;Cob_musgo;Cob_roca;Pertusaria_sp3;Dictyonema_sp;Dimelaena_oreina;Diploschistes_bisporus;Diploschistes_diacapsis;Diploschistes_scruposus;Diploschystes_diacapsis;Diploschystes_muscorum;Dyctionema_pavonii;Lepraria_amarilla;Estereocaulon_ramulosum;Flavoparmelia_caperata;Flavoparmelia_haysomii;Flavoparmelia_papilosa;Haematomma_fenzlianum;Heterodemia_badia;Heterodermia_leucomela;Heterodermia_obscurata;Heterodermia_sp;Heterodermia_speciosa;Heterotermia_obscurata;Psora_sp;Hypotrachyna_aff_dentella;Hypotrachyna_aff_intercalanda;Hypotrachyna_aff_longiloba;Hypotrachyna_badia;Hypotrachyna_breverhiza;Hypotrachyna_isidiada;Hypotrachyna_laciniada;Hypotrachyna_obscura;Hypotrachyna_revoluta;Hypotrachyna_rhabdiformis;Lecanora_cf_rupicola;Lecanora_farinosa;Lecidea_aff_laboriosa;Lecidea_sp;Lecidea_sp2;Lecidella_granulosula;Lepraria_amarilla;Lepraria_lobulada;Lepraria_verde;Leptogium_sp;Neofuscelia_sp;Ochrolechia_austroamericana;Ochrolechia_parella;Paraparmelia_rupicola;Paraparmelia_sp;Parmelinopsis_afrorevoluta;Parmelinopsis_sp;Parmotrema_aff_bonariensis;Parmotrema_aff_hababianum;Parmotrema_reticulatum;Parmotrema_warmingii;Peltigera_dydactila;Pertusaria_aff_coriacea;Pertusaria_ap2;Pertusaria_beige;Pertusaria_sp2;Phaeophyscia_sp;Physcia_dubia;Physcia_tribacia;Physcia_ lobulata;Placidium_sp;Placomaronea_candelarioides;Placomaronea_negra;Protoparmelia_badia;Psiloparmelia_distincta;Psiloparmelia_pustulata;Psora_sp;Punctelia_aff_hypoleucites;Punctelia_aff_semansiana;Punctelia_colombiana;Punctelia_perreticulata;Punctelia_punctilla;Punctelia_stictica;Ramalina_celastri;Ramalina_cf_pilulifera;Ramalina_aff_puiggarii;Rhizocarpon_cf_inorense;Rhizocarpon_disporum;Rhizocarpon_geographicum;Rhizocarpon_geographicum2;Rhizocarpon_gris;Rhizocarpon_obscuratum;Rhizocarpon_propagulosum;Rhizocarpon_verde;Rimoso_blanco;Rinodina_confragosula;Rinodina_confragosa;Stereocaulon_ramulosum;Teloschystes_nodulifer;Tephromela_atra;Umbilicaria_africana;Umbilicaria_polyrrhiza;Usnea_aff_saxydilatata;Usnea_amblyoclada;Usnea_apoteciada;Usnea_cornuta;Usnea_diuretzi;Usnea_hieronymi;Usnea_krogiana;Usnea_luti;Usnea_saxidilatata;Usnea_sp;Xanthoparmelia_cordillerana;Xanthoparmelia_cotopaxiensis;Xanthoparmelia_farinosa;Xanthoparmelia_hipopsila;Xanthoparmelia_microspora;Xanthoparmelia_microsticta;Xanthoparmelia_mougeoti;Xanthoparmelia_plittii;Xanthoparmelia_punctulata;Xanthoparmelia_santesonii;Xanthoparmelia_scabrosa;Xanthoparmelia_sp;Xanthoparmelia_submougeotii;Xanthoparmelia_subtinctina;Xanthoparmelia_subulcerosa;Xanthoparmelia_sutinctina;Xanthoparmelia_taractica;Xanthoparmelia_ulcerosa;Xanthoparmelia_wrightiana;Xanthoria_parietina;Xanthoria_sp;Xanthorparmelia_microspora;or_roca;ORNS_R;or_R;E;W;exp;L;A;sup;pend;pend_c;tipo_roca;or_ladera;ORNS_L;or_L;paj;roc;arb;so;mg;rast;ces;alt;piso;obs
T4_1800R13;linderos;;13.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;0.866;plana;0;15;165;4.5;1.4;6.3;15;plana;gneiss;110;-0.342;N;10;75;5;0;2;10;5;1830;1800;NA
T4_1800R14;linderos;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;-0.9397;N;5;15;160;2.6;2.8;7.28;40;media;gneiss;220;-0.766;N;15;60;0;5;1;10;15;1832;1800;NA
T4_1800R15;linderos;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;320;0.766;plana;5;15;160;5.1;3.1;15.81;2;plana;gneiss;350;0.9848;S;10;70;0;10;1;10;5;1855;1800;NA
T4_1800R16;linderos;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;0.342;S;0;15;165;2.2;4;8.8;55;vertical;gneiss;80;0.1736;S;20;45;2;1;1;5;30;1840;1800;NA
T4_1800R17;linderos;;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330;0.866;S;0;15;165;1.5;3.4;5.1;50;vertical;gneiss;50;0.6428;S;25;45;2;10;1;5;20;1824;1800;NA
T4_1800R18;linderos;;8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;0.766;plana;0;15;165;3.4;2;6.8;15;plana;gneiss;110;-0.342;N;50;35;1;2;1;5;10;1814;1800;NA
T4_2100R1;linderos;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;-0.342;N;0;60;120;2;3.2;6.4;50;vertical;gneiss;90;0;S;5;90;0;0;0;5;0;2128;2100;NA
T4_2100R2;linderos;;9.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;-0.342;N;0;60;120;3.1;5.4;16.74;45;media;gneiss;50;0.6428;S;10;80;0;1;2;2;7;2133;2100;NA
T4_2100R3;linderos;;15.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;0.6428;S;0;20;160;3.5;1.9;6.65;50;vertical;gneiss;30;0.866;S;8;75;1;3;1;5;10;2132;2100;NA
T4_2100R4;linderos;;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;0.9397;S;10;10;160;3.5;7.2;25.2;80;vertical;gneiss;40;0.766;S;10;70;1;15;1;5;10;2140;2100;NA
T4_2100R5;linderos;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;0.9848;S;0;30;150;2.4;3.3;7.92;80;vertical;gneiss;80;0.1736;S;25;70;3;1;1;0;0;2112;2100;NA
T4_2100R6;linderos;;13.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;350;0.9848;S;10;15;155;3.7;2.2;8.14;90;vertical;gneiss;10;0.9848;S;10;55;0;10;1;5;20;2147;2100;NA
T4_2100R7;linderos;;8.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;0.342;S;0;40;140;4;2.6;10.4;45;media;gneiss;20;0.9397;S;10;80;0;5;2;3;5;2141;2100;NA
T4_2100R8;linderos;;6.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;0.5;S;0;50;130;5.5;1.6;8.8;40;media;gneiss;120;-0.5;N;5;75;0;2;2;5;15;2134;2100;NA
T4_2100R9;linderos;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;-0.9397;N;0;35;145;3.5;1.4;4.9;45;media;gneiss;120;-0.5;N;5;80;0;5;1;2;10;2144;2100;NA
T4_2100R10;linderos;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;0.9848;plana;30;15;135;3.2;2.3;7.36;0;plana;gneiss;10;0.9848;S;10;45;0;15;1;5;25;2152;2100;NA
T4_2100R11;linderos;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;0.6428;plana;0;15;165;3.7;2.6;9.62;8;plana;gneiss;30;0.866;S;10;30;0;10;1;5;50;2148;2100;NA
T4_2100R13;linderos;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;0.866;plana;30;20;130;4.1;1.5;6.15;8;plana;gneiss;0;1;S;2;80;0;10;1;5;5;2153;2100;NA
T4_2100R15;linderos;;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;-0.9397;N;40;25;115;3.5;5.5;19.25;90;vertical;gneiss;160;-0.9397;N;35;55;0;10;3;5;5;2145;2100;NA
T4_2100R16;linderos;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;230;-0.6428;plana;0;20;160;4.5;1.4;6.3;5;plana;gneiss;70;0.342;S;20;50;0;15;3;3;15;2142;2100;NA
T4_2100R17;linderos;;9.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;-0.866;plana;0;20;160;3.5;2;7;8;plana;gneiss;180;-1;N;10;55;1;10;1;0;25;2136;2100;NA
T4_2100R18;linderos;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;230;-0.6428;N;40;20;120;3.9;3.5;13.65;80;vertical;gneiss;130;-0.6428;N;5;75;0;10;2;5;10;2137;2100;NA
T4_2400R1;linderos;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;-1;plana;0;10;170;2;3.4;6.8;10;plana;gneiss;80;0.1736;S;10;80;0;5;0;10;10;2448;2400;NA
T4_2400R2;linderos;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;0.766;S;0;30;150;3.3;2.2;7.26;45;media;gneiss;45;0.7071;S;10;50;5;10;2;0;0;2446;2400;NA
T4_2400R3;linderos;;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;-0.342;N;15;50;115;2.1;6;12.6;50;vertical;gneiss;140;-0.766;N;5;90;0;2;0;5;0;2447;2400;NA
T4_2400R4;linderos;;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;-0.342;N;5;70;105;1.3;5.9;7.67;90;vertical;gneiss;140;-0.766;N;15;65;0;0;1;10;70;2447;2400;NA
T4_2400R6;linderos;;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;-0.5;plana;0;10;170;2.6;5.6;14.56;7;plana;gneiss;120;-0.5;N;10;50;0;25;0;5;10;2410;2400;NA
T4_2400R7;linderos;;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;-0.5;N;0;40;140;3.5;4.3;15.05;40;media;gneiss;80;0.1736;S;30;30;0;25;0;10;10;2435;2400;NA
T4_2400R8;linderos;;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;-0.766;N;10;30;140;3;4.75;14.25;55;vertical;gneiss;10;0.9848;S;60;0;20;1;10;10;10;2434;2400;NA
T4_2400R10;linderos;;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;0.1736;S;0;8;172;4.8;4.3;20.64;40;media;gneiss;60;0.5;S;5;80;3;0;9;5;0;2432;2400;NA
T4_2400R12;linderos;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;190;-0.9848;N;10;15;155;2.2;3.2;7.04;90;vertical;gneiss;90;0;S;15;75;0;0;1;15;0;2425;2400;NA
T4_2400R13;linderos;;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;-0.9397;plana;0;5;175;1.4;3.9;5.46;15;plana;gneiss;150;-0.866;N;20;60;5;0;2;15;0;2430;2400;NA
T4_2400R14;linderos;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;0.6428;plana;0;15;165;3;3.6;10.8;17;plana;gneiss;90;0;S;10;70;2;10;1;10;0;2421;2400;NA
T4_2400R16;linderos;;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330;0.866;S;0;15;165;3;4.2;12.6;90;vertical;gneiss;40;0.766;S;5;70;0;10;1;5;10;2410;2400;NA
T4_2400R17;linderos;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;340;0.9397;S;0;20;160;2.6;4.6;11.96;80;vertical;gneiss;0;1;S;10;80;10;0;1;2;0;2406;2400;NA
T4_2400R18;linderos;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;0.766;S;0;20;160;3.5;3;10.5;80;vertical;gneiss;0;1;S;10;70;20;0;2;5;0;2380;2400;NA
T4_2700R1;linderos;;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;-0.5;N;0;30;150;3.8;6.9;26.22;50;vertical;gneiss;180;-1;N;10;70;0;20;0;2;5;2665;2700;NA
T4_2700R2;linderos;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;-0.766;plana;0;0;180;3.1;4.5;13.95;8;plana;gneiss;180;-1;N;40;40;0;10;0;5;10;2666;2700;NA
T4_2700R3;linderos;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;-0.342;plana;3;8;169;4.6;1.7;7.82;5;plana;gneiss;20;0.9397;S;30;60;0;10;0;10;0;2677;2700;NA
T4_2700R3;linderos;;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;-0.342;plana;3;8;169;4.6;1.7;7.82;5;plana;gneiss;20;0.9397;S;30;60;0;10;0;10;0;2677;2700;NA
T4_2700R4;linderos;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;230;-0.6428;plana;2;5;173;3.3;3.2;10.56;5;plana;gneiss;20;0.9397;S;30;60;0;0;20;0;5;2679;2700;NA
T4_2700R5;linderos;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;0.766;S;50;30;100;1.9;3;5.7;40;media;gneiss;340;0.9397;S;10;30;0;5;2;5;5;2680;2700;NA
T4_2700R6;linderos;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;0.342;S;5;45;130;3;6.1;18.3;40;media;gneiss;100;-0.1736;N;10;60;0;10;5;5;10;2574;2700;NA
T4_2700R7;linderos;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;0.5;plana;25;5;150;1.7;3.13;5.321;10;plana;gneiss;10;0.9848;S;20;65;0;10;2;10;0;2676;2700;NA
T4_2700R7;linderos;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;0.5;plana;25;5;150;1.7;3.13;5.321;10;plana;gneiss;10;0.9848;S;20;65;0;10;2;10;0;2676;2700;NA
T4_2700R11;linderos;;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;-0.766;N;2;65;113;3.1;6.6;20.46;85;vertical;gneiss;120;-0.5;N;10;70;0;10;0;10;5;2672;2700;NA
T4_2700R12;linderos;;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;-0.866;plana;10;25;145;3.1;6.5;20.15;5;plana;gneiss;180;-1;N;10;60;0;5;0;15;10;2676;2700;NA
T4_2700R14;linderos;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;-0.342;N;0;60;120;3.4;4.5;15.3;75;vertical;gneiss;150;-0.866;N;10;80;0;2;1;5;0;2669;2700;NA
T4_2700R17;linderos;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;0.9397;S;0;70;110;4.4;5.4;23.76;75;vertical;gneiss;40;0.766;S;20;65;0;10;2;70;5;2661;2700;NA
T4_1500R1;linderos;;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;0.766;plana;20;12;148;3.5;2.1;7.35;15;plana;gneiss;40;0.766;S;65;25;0;0;0;5;10;1562;1500;NA
