muestra,roca,tmto,MS,Pmesc,Pmsec,area,CRHtot,CRHint,CRHext,Chtot,Chint,spp
R26_2-2,R26,control_sur,0.3,0.7,0.5,626.451,0.000638518,0.000319259,0.000319259,0.4,0.2,Usnea_amblyoclada
R26_2-3,R26,control_sur,1.3,4.7,3,4138.132,0.000821627,0.000410813,0.000410813,3.4,1.7,Parmotrema_reticulatum
R27_2-2,R27,control_norte,0.2,0.7,0.5,819.067,0.000610451,0.00036627,0.00024418,0.5,0.3,Usnea_amblyoclada
R27_1-2,R27,control_norte,0.4,1.9,0.9,1819.693,0.000824315,0.000274772,0.000549543,1.5,0.5,Parmotrema_reticulatum
R27_1-1 y 2-1,R27,control_norte,0.9,2.3,1.6,2105.428,0.000664948,0.000332474,0.000332474,1.4,0.7,Usnea_amblyoclada
R27_1-1 y 2-1,R27,control_norte,0.1,1,0.4,1027.12,0.000876236,0.000292079,0.000584158,0.9,0.3,Parmotrema_reticulatum
R27_1-3 y 2-3,R27,control_norte,0.5,1.3,0.9,1066.956,0.000749797,0.000374898,0.000374898,0.8,0.4,Usnea_amblyoclada
R27_1-3 y 2-3,R27,control_norte,0.3,1.6,0.8,1444.932,0.000899696,0.000346037,0.000553659,1.3,0.5,Parmotrema_reticulatum
R28_1-1 y 1-2,R28,sur_norte,0.5,1.1,0.8,1040.183,0.000576822,0.000288411,0.000288411,0.6,0.3,Usnea_amblyoclada
R28_1-1 y 1-2,R28,sur_norte,0.3,0.7,0.5,675.428,0.000592217,0.000296109,0.000296109,0.4,0.2,Usnea_amblyoclada
R28_1-3,R28,sur_norte,0.3,1.8,0.7,1387.684,0.001080938,0.00028825,0.000792688,1.5,0.4,Parmotrema_reticulatum
R29_1-1 y 1-2,R29,norte_sur,1,2.7,1.9,2043.691,0.000831828,0.00044038,0.000391449,1.7,0.9,Parmotrema_reticulatum
R29_1-1 y 1-2,R29,norte_sur,0.2,0.9,0.3,1230.152,0.000569035,8.13E-05,0.000487745,0.7,0.1,Usnea_amblyoclada
R28_1-2,R28,sur_norte,0.6,1.4,1,1618.806,0.000494191,0.000247096,0.000247096,0.8,0.4,Usnea_amblyoclada
R28_1-3,R28,sur_norte,0.2,0.8,0.3,957.202,0.000626827,0.000104471,0.000522356,0.6,0.1,Parmotrema_reticulatum
R29_2-2,R29,norte_sur,0.3,1.4,0.6,1346.112,0.000817168,0.000222864,0.000594304,1.1,0.3,Parmotrema_reticulatum
R29_1-3 y 2-3,R29,norte_sur,0.6,1.4,1,1003.865,0.00079692,0.00039846,0.00039846,0.8,0.4,Usnea_amblyoclada
R29_1-3 y 2-3,R29,norte_sur,0.4,1,0.7,1469.77,0.000408227,0.000204114,0.000204114,0.6,0.3,Parmotrema_reticulatum
R1_1-1,R1,control_baja,1.2,2.7,2.2,946.144,0.158538235,0.105692157,0.052846078,1.5,1,Parmotrema_reticulatum
R1_1-2,R1,control_baja,0.8,1.1,1,875.818,0.034253692,0.022835795,0.011417897,0.3,0.2,Usnea_amblyoclada
R1_1-3,R1,control_baja,0.6,1.8,1.1,914.501,0.131219102,0.054674626,0.076544476,1.2,0.5,Parmotrema_reticulatum
R1_2-1,R1,control_baja,0.4,0.8,0.5,689.66,0.057999594,0.014499899,0.043499696,0.4,0.1,Usnea_amblyoclada
R1_2-2,R1,control_baja,4.5,12.1,8.9,3380.397,0.224825664,0.130162227,0.094663437,7.6,4.4,Parmotrema_reticulatum
R1_2-3,R1,control_baja,0.3,0.8,0.6,807.66,0.061907238,0.037144343,0.024762895,0.5,0.3,Usnea_amblyoclada
R1_3-3,R1,control_baja,1.7,4.3,2.8,2174.502,0.119567607,0.050586295,0.068981312,2.6,1.1,Parmotrema_reticulatum
R1_2-3,R1,control_baja,0.2,0.6,0.4,673.811,0.059363828,0.029681914,0.029681914,0.4,0.2,Usnea_amblyoclada
R2_2-2,R2,control_baja,2.3,8.8,5.7,3886.524,0.167244561,0.08748177,0.079762791,6.5,3.4,Parmotrema_reticulatum
R2_2-1,R2,control_baja,0.8,1.9,1.3,1573.96,0.069887418,0.031767008,0.03812041,1.1,0.5,Usnea_amblyoclada
R2_1-3,R2,control_baja,0.8,1.9,1.4,1366.342,0.08050693,0.043912871,0.036594059,1.1,0.6,Usnea_amblyoclada
R3_1-2,R3,control_baja,0.3,1.3,0.6,896.786,0.111509323,0.033452797,0.078056526,1,0.3,Parmotrema_reticulatum
R1_3-1,R1,control_baja,2,6.2,4.2,3111.097,0.135000612,0.070714606,0.064286006,4.2,2.2,Parmotrema_reticulatum
R4_1-1,R4,control_baja,1,3.5,2.1,2266.53,0.110300768,0.048532338,0.06176843,2.5,1.1,Parmotrema_reticulatum
R4_1-3,R4,control_baja,0.7,3,1.6,1605.951,0.143217321,0.05604156,0.087175761,2.3,0.9,Parmotrema_reticulatum
R4_2-3,R4,control_baja,0.4,1.7,0.9,1046.943,0.124171039,0.047758092,0.076412947,1.3,0.5,Parmotrema_reticulatum
R5_1-3,R5,control_baja,0.6,1.5,1,993.594,0.090580257,0.040257892,0.050322365,0.9,0.4,Usnea_amblyoclada
R5_1-1,R5,control_baja,0.7,2.7,1.6,2682.646,0.074553258,0.033548966,0.041004292,2,0.9,Parmotrema_reticulatum
R5_1-2,R5,control_baja,0.6,2.7,1.6,2032.796,0.103305988,0.049193328,0.054112661,2.1,1,Parmotrema_reticulatum
R5_2-1,R5,control_baja,1,4.2,2.4,2686.223,0.119126372,0.052117788,0.067008584,3.2,1.4,Parmotrema_reticulatum
R6_1-2,R6,control_baja,0.5,1.8,1.1,1208.113,0.107605828,0.049664228,0.0579416,1.3,0.6,Parmotrema_reticulatum
R6_1-3,R6,control_baja,0.7,2.9,1.6,2242.595,0.098100638,0.040132079,0.057968559,2.2,0.9,Parmotrema_reticulatum
R6_2-3,R6,control_baja,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parmotrema_reticulatum
R9_1-3,R9,baja_media,1.7,4.5,3.1,1733.362,0.16153579,0.080767895,0.080767895,2.8,1.4,Parmotrema_reticulatum
R9_2-1 parmotrema,R9,baja_media,1.7,5.7,3.8,3724.825,0.107387595,0.056378488,0.051009108,4,2.1,Parmotrema_reticulatum
R9_2-2 usnea,R9,baja_media,NA,NA,NA,NA,NA,NA,NA,NA,NA,Usnea_amblyoclada
R11N,R11N,sur_norte,1.1,2.8,1.9,1166.967,0.145676784,0.068553781,0.077123003,1.7,0.8,Usnea_amblyoclada
R12,R12,control_norte,0.5,1.3,1,868.246,0.092139785,0.057587366,0.034552419,0.8,0.5,Usnea_amblyoclada
R13_1-1 y 2-1 usnea,R13,norte_sur,0.6,1.5,1,913.017,0.098574287,0.043810794,0.054763493,0.9,0.4,Usnea_amblyoclada
R13_1-1 y 2-1 parmotrema,R13,norte_sur,0.4,1.6,1,840.323,0.142802232,0.071401116,0.071401116,1.2,0.6,Parmotrema_reticulatum
R13_1-3 y 2-3 usnea,R13,norte_sur,1.4,3.1,2.4,1792.897,0.094818609,0.055775652,0.039042957,1.7,1,Usnea_amblyoclada
R13_1-3 y 2-3 parmotrema,R13,norte_sur,0.4,1.5,0.9,1008.137,0.109112154,0.049596434,0.059515721,1.1,0.5,Parmotrema_reticulatum
R18_1-1,R18,norte_sur,1.9,3.9,3.1,2231.549,0.089623844,0.053774307,0.035849538,2,1.2,Usnea_amblyoclada
R16_1-3,R16,control_norte,2.8,6.4,5,2773.554,0.129797365,0.079320612,0.050476753,3.6,2.2,Usnea_amblyoclada
R13_1-2 y 2-2 usnea,R13,norte_sur,1.2,2.3,1.9,1305.554,0.08425542,0.053617085,0.030638334,1.1,0.7,Usnea_amblyoclada
R13_1-2 y 2-2 parmotrema,R13,norte_sur,0.2,0.4,0.4,707.311,0.028276105,0.028276105,0,0.2,0.2,Parmotrema_reticulatum
R11N_1-3,R11N,sur_norte,0.6,1.5,1,982.364,0.091615735,0.040718104,0.050897631,0.9,0.4,Usnea_amblyoclada
R15_2-2 y 2-3 usnea,R15,sur_norte,1.2,2.9,2,1475.291,0.115231504,0.05422659,0.061004914,1.7,0.8,Usnea_amblyoclada
R15_2-2 y 2-3 parmotrema,R15,sur_norte,0.3,1.4,0.7,1051.052,0.104657048,0.038057109,0.06659994,1.1,0.4,Parmotrema_reticulatum
